item,category,calories,calories_from_fat,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,protein_g,vegetarian,vegan,gluten_free,notes
Cucumber Slices (three slices),Side,0,0,0.0,0.0,0.0,0,0,0,0,0,0,yes,yes,yes,
Fresh Jalapeno Slices,Side,0,0,0.0,0.0,0.0,0,0,0,0,0,0,yes,yes,yes,
Fried Egg,Side,90,60,7.0,2.0,0.0,185,95,0,0,0,6,yes,no,yes,
Garlic Fries,Side,430,200,23.0,7.0,0.5,20,500,50,5,2,8,yes,unknown,unknown,Confirm butter/dairy content with staff
Garlic Parmesan Broccoli,Side,80,40,4.5,2.5,0.0,10,130,7,3,2,5,yes,no,unknown,Contains parmesan
Green Chile Side,Side,10,0,0.0,0.0,0.0,0,0,2,0,0,0,yes,yes,yes,New Mexico locations only
Mayonnaise (1oz),Side,250,250,28.0,4.5,0.0,15,200,0,0,0,0,yes,no,unknown,Contains egg
Onion Rings,Side,280,10,1.0,0.0,0.0,5,1020,61,3,11,6,yes,unknown,unknown,Batter may contain dairy/egg - confirm with staff
Onion Straws,Side,220,140,16.0,3.0,0.0,0,180,18,1,2,2,yes,unknown,unknown,Confirm batter ingredients with staff
Pickle Slices,Side,0,0,0.0,0.0,0.0,0,230,0,0,0,0,yes,yes,yes,
Red's Pickle Relish,Side,90,0,0.0,0.0,0.0,0,500,22,0,20,0,yes,yes,yes,
Sauteed Mushrooms,Side,120,70,8.0,4.5,0.0,20,270,9,3,4,4,yes,unknown,unknown,Confirm butter content with staff
Steamed Broccoli,Side,30,0,0.5,0.0,0.0,0,30,6,3,2,3,yes,yes,yes,
Sweet Potato Fries,Side,460,200,23.0,21.0,0.0,0,750,59,8,21,4,yes,unknown,unknown,Confirm oil/seasoning with staff
Tomato (two slices),Side,5,0,0.0,0.0,0.0,0,0,1,0,0,0,yes,yes,yes,
Yellow Onion,Side,10,0,0.0,0.0,0.0,0,0,3,0,1,0,yes,yes,yes,
Yukon Chips,Side,500,320,35.0,31.0,0.0,0,490,41,8,0,4,yes,yes,yes,
Buzzard-Spicy Wing Sauce,Dipping Sauce,140,140,16.0,7.0,0.0,0,1640,0,0,0,0,yes,unknown,unknown,Confirm dairy content with staff
Campfire Mayo - Creamy BBQ,Dipping Sauce,330,270,30.0,4.5,0.0,15,550,14,0,12,0,yes,no,unknown,Contains egg (mayo based)
Chipotle Aioli,Dipping Sauce,430,420,47.0,7.0,0.5,25,430,2,0,2,0,yes,no,unknown,Contains egg (aioli based)
Heinz 57 (2oz),Dipping Sauce,80,0,0.0,0.0,0.0,0,720,16,0,16,0,yes,yes,unknown,
House-Made Salsa,Dipping Sauce,15,0,0.0,0.0,0.0,0,260,3,0,2,0,yes,yes,yes,
Island Heat Sauce,Dipping Sauce,130,0,0.0,0.0,0.0,0,230,31,0,29,0,yes,yes,yes,
Ranch,Dipping Sauce,270,250,29.0,5.0,0.0,20,410,2,0,2,1,yes,no,unknown,
Red's Secret Tavern Sauce,Dipping Sauce,190,160,18.0,3.0,0.5,15,440,7,0,6,0,yes,unknown,unknown,Confirm dairy content with staff
Roasted Garlic Aioli,Dipping Sauce,510,490,56.0,9.0,0.5,30,430,2,0,1,2,yes,no,unknown,Contains egg (aioli based)
Smoke & Pepper Ketchup,Dipping Sauce,90,0,0.0,0.0,0.0,0,690,23,0,17,1,yes,yes,yes,
Sweet & Spicy Ketchup,Dipping Sauce,130,0,0.0,0.0,0.0,0,350,33,0,30,0,yes,yes,yes,
Teriyaki Sauce,Dipping Sauce,100,0,0.0,0.0,0.0,0,1130,24,0,20,2,yes,yes,yes,
Whiskey River BBQ Sauce,Dipping Sauce,130,0,0.5,0.0,0.0,0,800,31,1,28,1,yes,yes,yes,
Avo-Cobb-O Salad,Salad,1070,700,78.0,18.0,1.0,325,1810,51,10,30,50,no,no,unknown,Dressing not included
Caesar Salad,Salad,230,190,21.0,4.0,0.5,15,360,8,2,2,4,no,no,unknown,Select locations only; dressing not included
Chicken Tortilla Soup (Bowl),Soup,340,140,16.0,6.0,0.5,75,1080,27,5,4,23,no,no,unknown,Select locations only
Chicken Tortilla Soup (Cup),Soup,170,70,8.0,3.0,0.0,35,540,13,2,2,12,no,no,unknown,Select locations only
Clamdigger's Clam Chowder (Bowl),Soup,420,280,31.0,19.0,1.0,115,1270,25,0,8,11,no,no,unknown,Select locations only; contains shellfish
Clamdigger's Clam Chowder (Cup),Soup,210,140,15.0,10.0,0.5,60,640,12,0,4,6,no,no,unknown,Select locations only; contains shellfish
Crispy Chicken Tender Salad,Salad,1360,840,94.0,20.0,1.0,300,2180,82,7,30,37,no,no,unknown,Dressing not included
French Onion Soup (Bowl),Soup,230,140,15.0,8.0,0.0,30,510,13,2,6,13,no,no,unknown,Select locations only
French Onion Soup (Cup),Soup,120,70,8.0,4.0,0.0,15,260,7,1,3,6,no,no,unknown,Select locations only
House Salad,Salad,430,320,36.0,7.0,0.5,35,650,25,2,18,5,yes,unknown,unknown,"Dressing not included; base salad likely vegan, confirm toppings with staff"
Mighty Caesar Salad,Salad,750,550,61.0,11.0,1.0,125,1220,20,6,5,36,no,no,unknown,Select locations only
Red's Chili Chili (Bowl),Salad,460,200,23.0,8.0,0.5,65,1260,40,9,8,27,no,no,unknown,Select locations only
Red's Chili Chili (Cup),Salad,260,120,13.0,5.0,0.5,40,660,21,4,4,15,no,no,unknown,Select locations only
Simply Grilled Chicken Salad,Salad,810,510,57.0,12.0,1.0,140,1310,42,5,29,37,no,no,unknown,Dressing not included
Southwest Salad,Salad,800,490,54.0,13.0,0.5,130,1510,42,10,10,41,no,no,unknown,
Balsamic Vinaigrette (2oz),Salad Dressing,90,80,9.0,2.0,0.0,0,490,6,0,4,0,yes,yes,unknown,
Balsamic Vinaigrette (3oz),Salad Dressing,140,130,14.0,3.0,0.0,0,730,8,0,6,0,yes,yes,unknown,
Bleu Cheese Dressing (2oz),Salad Dressing,320,310,34.0,7.0,0.5,30,570,0,0,0,2,yes,no,unknown,
Bleu Cheese Dressing (3oz),Salad Dressing,470,460,51.0,10.0,0.5,50,860,0,0,0,3,yes,no,unknown,
Caesar Dressing (2oz),Salad Dressing,360,340,38.0,7.0,0.5,30,510,3,0,0,2,yes,no,unknown,Select locations only; contains egg/anchovy typically
Caesar Dressing (3oz),Salad Dressing,530,510,57.0,10.0,1.0,40,760,5,0,1,3,yes,no,unknown,Select locations only; contains egg/anchovy typically
Dijon Vinaigrette (2oz),Salad Dressing,180,120,14.0,2.5,0.0,15,780,10,0,10,0,yes,unknown,unknown,Confirm egg content with staff
Dijon Vinaigrette (3oz),Salad Dressing,280,190,21.0,3.5,0.5,25,1160,16,0,14,0,yes,unknown,unknown,Confirm egg content with staff
French Dressing (2oz),Salad Dressing,90,70,7.0,1.5,0.0,0,260,6,0,5,0,yes,unknown,unknown,Select locations only
French Dressing (3oz),Salad Dressing,140,100,11.0,2.0,0.0,0,390,9,0,8,0,yes,unknown,unknown,Select locations only
French Honey Dressing (2oz),Salad Dressing,270,190,21.0,3.5,0.0,0,430,19,0,19,0,yes,unknown,unknown,Select locations only
French Honey Dressing (3oz),Salad Dressing,480,320,36.0,6.0,0.0,0,750,33,0,33,0,yes,unknown,unknown,Select locations only
Italian Dressing (2oz),Salad Dressing,180,160,18.0,3.0,0.0,0,480,6,0,4,0,yes,yes,unknown,
Italian Dressing (3oz),Salad Dressing,270,240,27.0,4.5,0.0,0,720,9,0,6,0,yes,yes,unknown,
Oil & Vinegar (2oz),Salad Dressing,300,290,33.0,5.0,0.5,0,0,0,0,0,0,yes,yes,unknown,
Oil & Vinegar (3oz),Salad Dressing,440,430,49.0,8.0,0.5,0,0,0,0,0,0,yes,yes,unknown,
Poppyseed-Honey Mustard Dressing (2oz),Salad Dressing,350,280,31.0,5.0,0.5,25,510,17,0,16,1,yes,no,unknown,Contains honey and egg
Poppyseed-Honey Mustard Dressing (3oz),Salad Dressing,520,420,47.0,8.0,0.5,40,770,26,0,24,2,yes,no,unknown,Contains honey and egg
Ranch Dressing (2oz),Salad Dressing,270,250,29.0,5.0,0.0,20,410,2,0,2,1,yes,no,unknown,
Ranch Dressing (3oz),Salad Dressing,400,380,43.0,7.0,0.5,25,620,3,0,3,2,yes,no,unknown,
Salsa Ranch Dressing (2oz),Salad Dressing,190,180,20.0,4.5,0.0,20,290,2,0,2,1,yes,no,unknown,
Salsa Ranch Dressing (3oz),Salad Dressing,290,270,30.0,6.0,0.5,30,440,4,0,3,2,yes,no,unknown,
Thousand Island Dressing (2oz),Salad Dressing,190,160,18.0,3.0,0.5,15,440,7,0,6,0,yes,no,unknown,
Thousand Island Dressing (3oz),Salad Dressing,290,240,27.0,4.5,0.5,20,660,10,0,9,0,yes,no,unknown,
